step,time,mode,throughput,mean_speed,avg_ttc,crit_events
0,0.1,Baseline_LC2013,0,30.13677266666667,,0
100,10.1,Baseline_LC2013,0,24.36426784326311,,0
200,20.1,Baseline_LC2013,0,25.02274369098587,,0
300,30.1,Baseline_LC2013,0,24.33510684356893,,0
400,40.1,Baseline_LC2013,0,24.530639362668555,1.0,0
500,50.1,Baseline_LC2013,0,25.334211983197,1.0,0
600,60.1,Baseline_LC2013,0,24.793009105792482,1.0,0
700,70.1,Baseline_LC2013,0,24.65614033081023,1.0,0
800,80.1,Baseline_LC2013,0,24.314293959075577,1.0,0
900,90.1,Baseline_LC2013,0,24.283204847936823,1.0,0
1000,100.1,Baseline_LC2013,1,23.89189461338276,1.0,0
1100,110.1,Baseline_LC2013,1,23.329413177621028,1.0,0
1200,120.1,Baseline_LC2013,1,23.39122426771637,1.0,0
1300,130.1,Baseline_LC2013,2,23.725488437405872,1.0,0
1400,140.1,Baseline_LC2013,2,24.020245842843693,1.0,0
1500,150.1,Baseline_LC2013,6,23.997008485086692,1.0,0
1600,160.1,Baseline_LC2013,7,23.78156862796964,1.0,0
1700,170.1,Baseline_LC2013,12,23.654957215160294,1.0,0
1800,180.1,Baseline_LC2013,21,23.714009231151305,1.0,0
1900,190.1,Baseline_LC2013,35,23.116097986030493,1.0,0
2000,200.1,Baseline_LC2013,49,22.906935429808456,1.0,0
2100,210.1,Baseline_LC2013,59,23.59662786763297,1.0,0
2200,220.1,Baseline_LC2013,71,23.238293172400617,1.0,0
2300,230.1,Baseline_LC2013,78,22.990973419067632,1.0,0
2400,240.1,Baseline_LC2013,84,22.548138880669278,1.0,0
2500,250.1,Baseline_LC2013,96,22.600344900997797,1.0,0
2600,260.1,Baseline_LC2013,106,22.566341771545996,1.0,0
2700,270.1,Baseline_LC2013,117,22.465605878719085,1.0,0
2800,280.1,Baseline_LC2013,130,22.27369981694535,1.0,0
2900,290.1,Baseline_LC2013,142,21.837493364497497,1.0,0
3000,300.1,Baseline_LC2013,156,21.42130405383488,1.0,0
3100,310.1,Baseline_LC2013,171,21.129877970348772,1.0,0
3200,320.1,Baseline_LC2013,184,22.007838754837014,1.0,0
3300,330.1,Baseline_LC2013,196,23.052466079777826,1.0,0
3400,340.1,Baseline_LC2013,207,22.538952267237082,1.0,0
3500,350.1,Baseline_LC2013,223,22.17686454353136,1.0,0
3600,360.1,Baseline_LC2013,235,22.114810628457494,1.0,0
3700,370.1,Baseline_LC2013,246,21.746792877592757,1.0,0
3800,380.1,Baseline_LC2013,252,21.828651220610855,1.0,0
3900,390.1,Baseline_LC2013,262,21.24298920275505,1.0,0
4000,400.1,Baseline_LC2013,275,20.759016493745257,1.0,0
4100,410.1,Baseline_LC2013,286,20.74356190367924,1.0,0
4200,420.1,Baseline_LC2013,295,20.973962951447028,1.0,0
4300,430.1,Baseline_LC2013,308,21.932591235564903,1.0,0
4400,440.1,Baseline_LC2013,321,22.714500661380775,1.0,0
4500,450.1,Baseline_LC2013,333,22.860384905252545,1.0,0
4600,460.1,Baseline_LC2013,345,22.768457147060357,1.0,0
4700,470.1,Baseline_LC2013,359,22.633778226361223,1.0,0
4800,480.1,Baseline_LC2013,371,22.847256561995636,1.0,0
4900,490.1,Baseline_LC2013,383,22.741578574147105,1.0,0
5000,500.1,Baseline_LC2013,398,22.29541509756238,1.0,0
5100,510.1,Baseline_LC2013,411,21.81270839374788,1.0,0
5200,520.1,Baseline_LC2013,426,21.65771157546733,1.0,0
5300,530.1,Baseline_LC2013,438,21.618822495711555,1.0,0
5400,540.1,Baseline_LC2013,450,21.370686086293784,1.0,0
5500,550.1,Baseline_LC2013,466,21.2976062509704,1.0,0
5600,560.1,Baseline_LC2013,475,20.973859344584433,1.0,0
5700,570.1,Baseline_LC2013,488,20.896905861555698,1.0,0
5800,580.1,Baseline_LC2013,502,20.646940938376744,1.0,0
