step,time,mode,throughput,mean_speed,avg_ttc,critical_ttc_events,,23.90584516
0,0.1,Baseline_LC2013,0,27.329292,,0,,1497
1,0.2,Baseline_LC2013,0,27.329292,,0,,31.35502152
2,0.3,Baseline_LC2013,0,27.329292,,0,,
3,0.4,Baseline_LC2013,0,27.329292,,0,,
4,0.5,Baseline_LC2013,0,27.329292,,0,,
5,0.6,Baseline_LC2013,0,27.329292,,0,,
6,0.7,Baseline_LC2013,0,27.329292,,0,,
7,0.8,Baseline_LC2013,0,27.329292,,0,,
8,0.9,Baseline_LC2013,0,27.329292,,0,,
9,1,Baseline_LC2013,0,27.329292,,0,,
10,1.1,Baseline_LC2013,0,27.329292,,0,,
11,1.2,Baseline_LC2013,0,27.329292,0.882405671,1,,
12,1.3,Baseline_LC2013,0,27.33627982,0.967676849,1,,
13,1.4,Baseline_LC2013,0,27.35524647,1.054195359,1,,
14,1.5,Baseline_LC2013,0,27.38184091,1.141363171,1,,
15,1.6,Baseline_LC2013,0,27.41355207,1.228826313,1,,
16,1.7,Baseline_LC2013,0,27.44883056,1.316360084,1,,
17,1.8,Baseline_LC2013,0,27.48666918,1.403814165,1,,
18,1.9,Baseline_LC2013,0,26.31728087,1.49108392,1,,
19,2,Baseline_LC2013,0,26.31252681,1.578094297,1,,
20,2.1,Baseline_LC2013,0,26.30995783,1.664790263,1,,
21,2.2,Baseline_LC2013,0,26.30935207,1.751130845,1,,
22,2.3,Baseline_LC2013,0,26.31052684,1.837085258,1,,
23,2.4,Baseline_LC2013,0,26.31332853,1.922630307,1,,
24,2.5,Baseline_LC2013,0,26.31762563,2.007748581,1,,
25,2.6,Baseline_LC2013,0,26.32330394,6.346755921,0,,
26,2.7,Baseline_LC2013,0,26.36000841,6.348700336,0,,
27,2.8,Baseline_LC2013,0,26.39773258,6.356105108,0,,
28,2.9,Baseline_LC2013,0,26.43633741,6.368379661,0,,
29,3,Baseline_LC2013,0,26.47569854,6.385012025,0,,
30,3.1,Baseline_LC2013,0,26.51570477,6.405555972,0,,
31,3.2,Baseline_LC2013,0,26.55625663,6.429620617,0,,
32,3.3,Baseline_LC2013,0,26.62935615,6.514246423,0,,
33,3.4,Baseline_LC2013,0,26.70135181,,0,,
34,3.5,Baseline_LC2013,0,26.74424095,,0,,
35,3.6,Baseline_LC2013,0,26.78732724,,0,,
36,3.7,Baseline_LC2013,0,28.76681555,3.171105838,0,,
37,3.8,Baseline_LC2013,0,28.79882469,44.76911392,0,,
38,3.9,Baseline_LC2013,0,27.813137,38.9236444,0,,
39,4,Baseline_LC2013,0,27.7529788,34.77155005,0,,
40,4.1,Baseline_LC2013,0,27.69342887,31.68683512,0,,
41,4.2,Baseline_LC2013,0,27.63445783,29.31849149,0,,
42,4.3,Baseline_LC2013,0,27.57603682,27.45445395,0,,
43,4.4,Baseline_LC2013,0,27.51813755,25.95905043,0,,
44,4.5,Baseline_LC2013,0,27.46073242,24.741452,0,,
45,4.6,Baseline_LC2013,0,27.40379452,23.73856616,0,,
46,4.7,Baseline_LC2013,0,27.34729776,22.90520621,0,,
47,4.8,Baseline_LC2013,0,27.29121682,22.20816514,0,,
48,4.9,Baseline_LC2013,0,27.23552724,21.62249712,0,,
49,5,Baseline_LC2013,0,27.18020542,21.12910326,0,,
50,5.1,Baseline_LC2013,0,27.1252286,20.71311732,0,,
51,5.2,Baseline_LC2013,0,27.07057491,20.36279837,0,,
52,5.3,Baseline_LC2013,0,27.01622334,20.0687539,0,,
53,5.4,Baseline_LC2013,0,26.96215372,19.82338378,0,,
54,5.5,Baseline_LC2013,0,26.66633867,19.62047506,0,,
55,5.6,Baseline_LC2013,0,26.60587707,19.45490211,0,,
56,5.7,Baseline_LC2013,0,26.54642235,19.32240126,0,,
57,5.8,Baseline_LC2013,0,26.48791825,19.21939938,0,,
58,5.9,Baseline_LC2013,0,26.43031216,19.14288183,0,,
59,6,Baseline_LC2013,0,26.37355478,19.09028965,0,,
60,6.1,Baseline_LC2013,0,26.31759986,19.05943866,0,,
61,6.2,Baseline_LC2013,0,26.26240391,19.04845532,0,,
62,6.3,Baseline_LC2013,0,26.20792601,19.05572527,0,,
63,6.4,Baseline_LC2013,0,26.15412758,19.07985189,0,,
64,6.5,Baseline_LC2013,0,26.10097223,19.11962257,0,,
65,6.6,Baseline_LC2013,0,26.05197395,19.17398109,0,,
66,6.7,Baseline_LC2013,0,26.01425114,19.24200485,0,,
67,6.8,Baseline_LC2013,0,25.9853897,19.32288607,0,,
68,6.9,Baseline_LC2013,0,25.96366327,19.41591605,0,,
69,7,Baseline_LC2013,0,25.94779452,19.52047196,0,,
70,7.1,Baseline_LC2013,0,25.93681184,19.63600583,0,,
71,7.2,Baseline_LC2013,0,25.92995898,19.76203508,0,,
