step,time,mode,throughput,mean_speed,avg_ttc,critical_ttc_events,,23.95679154
0,0.1,No_Control,0,27.329292,,0,,1500
1,0.2,No_Control,0,27.329292,,0,,31.46763003
2,0.3,No_Control,0,27.329292,,0,,
3,0.4,No_Control,0,27.329292,,0,,
4,0.5,No_Control,0,27.329292,,0,,
5,0.6,No_Control,0,27.329292,,0,,
6,0.7,No_Control,0,27.329292,,0,,
7,0.8,No_Control,0,27.329292,,0,,
8,0.9,No_Control,0,27.329292,,0,,
9,1,No_Control,0,27.329292,,0,,
10,1.1,No_Control,0,27.329292,,0,,
11,1.2,No_Control,0,27.329292,0.882405671,1,,
12,1.3,No_Control,0,27.33627982,0.967676849,1,,
13,1.4,No_Control,0,27.35524647,1.054195359,1,,
14,1.5,No_Control,0,27.38184091,1.141363171,1,,
15,1.6,No_Control,0,27.41355207,1.228826313,1,,
16,1.7,No_Control,0,27.44883056,1.316360084,1,,
17,1.8,No_Control,0,27.48666918,1.403814165,1,,
18,1.9,No_Control,0,26.31728087,1.49108392,1,,
19,2,No_Control,0,26.31252681,1.578094297,1,,
20,2.1,No_Control,0,26.30995783,1.664790263,1,,
21,2.2,No_Control,0,26.30935207,1.751130845,1,,
22,2.3,No_Control,0,26.31052684,1.837085258,1,,
23,2.4,No_Control,0,26.31332853,1.922630307,1,,
24,2.5,No_Control,0,26.31762563,2.007748581,1,,
25,2.6,No_Control,0,26.32330394,6.346755921,0,,
26,2.7,No_Control,0,26.36000841,,0,,
27,2.8,No_Control,0,26.4018767,,0,,
28,2.9,No_Control,0,26.4443791,,0,,
29,3,No_Control,0,26.48741495,,0,,
30,3.1,No_Control,0,26.53089398,,0,,
31,3.2,No_Control,0,26.57473533,,0,,
32,3.3,No_Control,0,26.61886667,,0,,
33,3.4,No_Control,0,26.66322332,,0,,
34,3.5,No_Control,0,26.70774757,,0,,
35,3.6,No_Control,0,26.752388,97.96841032,0,,
36,3.7,No_Control,0,28.74172016,42.39622418,0,,
37,3.8,No_Control,0,28.7747856,37.09133667,0,,
38,3.9,No_Control,0,27.78105496,33.28436891,0,,
39,4,No_Control,0,27.72131276,30.43533242,0,,
40,4.1,No_Control,0,27.66223456,28.23621877,0,,
41,4.2,No_Control,0,27.60378313,26.49851715,0,,
42,4.3,No_Control,0,27.54592253,25.10039495,0,,
43,4.4,No_Control,0,27.48861815,23.95961925,0,,
44,4.5,No_Control,0,27.4318367,23.01868342,0,,
45,4.6,No_Control,0,27.37554623,22.23616914,0,,
46,4.7,No_Control,0,27.31971608,21.58149328,0,,
47,4.8,No_Control,0,27.26431691,21.03158701,0,,
48,4.9,No_Control,0,27.20932065,20.56872591,0,,
49,5,No_Control,0,27.15470051,20.17907105,0,,
50,5.1,No_Control,0,27.10043088,19.8516633,0,,
51,5.2,No_Control,0,27.04648737,19.57771475,0,,
52,5.3,No_Control,0,26.99284675,19.3500996,0,,
53,5.4,No_Control,0,26.9394869,19.16298198,0,,
54,5.5,No_Control,0,26.6383038,19.0115395,0,,
55,5.6,No_Control,0,26.57839576,18.89175509,0,,
56,5.7,No_Control,0,26.5195063,18.80025811,0,,
57,5.8,No_Control,0,26.46157727,18.73420181,0,,
58,5.9,No_Control,0,26.40455433,18.69116756,0,,
59,6,No_Control,0,26.34838659,18.66908948,0,,
60,6.1,No_Control,0,26.29302631,18.66619451,0,,
61,6.2,No_Control,0,26.23842865,18.68095425,0,,
62,6.3,No_Control,0,26.18455144,18.71204613,0,,
63,6.4,No_Control,0,26.13135496,18.75832177,0,,
64,6.5,No_Control,0,26.07880179,18.81878098,0,,
65,6.6,No_Control,0,26.0279978,18.89255042,0,,
66,6.7,No_Control,0,25.98918144,18.97886579,0,,
67,6.8,No_Control,0,25.95970734,19.07705704,0,,
68,6.9,No_Control,0,25.93770454,19.18653593,0,,
69,7,No_Control,0,25.921801,19.30678553,0,,
70,7.1,No_Control,0,25.91096065,19.43735141,0,,
71,7.2,No_Control,0,25.90438201,19.57783402,0,,
72,7.3,No_Control,0,25.62586165,19.72788229,0,,
73,7.4,No_Control,0,25.61407347,19.88718812,0,,
74,7.5,No_Control,0,25.6045796,20.05548158,0,,
75,7.6,No_Control,0,25.59712343,20.23252688,0,,
76,7.7,No_Control,0,25.59148987,20.41811875,0,,
77,7.8,No_Control,0,25.58749668,20.61207943,0,,
78,7.9,No_Control,0,25.58498788,20.81425591,0,,
79,8,No_Control,0,25.58382882,21.02451767,0,,
80,8.1,No_Control,0,25.58390228,21.24275455,0,,
81,8.2,No_Control,0,25.58510546,21.46887503,0,,
82,8.3,No_Control,0,25.5873476,21.70280458,0,,
83,8.4,No_Control,0,25.59054806,21.94448431,0,,
84,8.5,No_Control,0,25.6124973,22.19386975,0,,
85,8.6,No_Control,0,25.63526808,22.45092975,0,,
86,8.7,No_Control,0,25.65880197,22.71564551,0,,
87,8.8,No_Control,0,25.683046,22.98800975,0,,
88,8.9,No_Control,0,25.70795192,23.26802599,0,,
89,9,No_Control,0,25.73347564,23.55570783,0,,
90,9.1,No_Control,0,25.57331851,23.85107838,0,,
91,9.2,No_Control,0,25.58658298,24.15416976,0,,
92,9.3,No_Control,0,25.60177533,24.4650226,0,,
93,9.4,No_Control,0,25.61875125,24.78368569,0,,
94,9.5,No_Control,0,25.63675412,25.11021553,0,,
95,9.6,No_Control,0,25.65565172,25.44467611,0,,
96,9.7,No_Control,0,25.67533499,25.78713853,0,,
97,9.8,No_Control,0,25.69570736,26.13768084,0,,
98,9.9,No_Control,0,25.71668314,24.78438861,0,,
99,10,No_Control,0,25.75253583,25.60725163,0,,
100,10.1,No_Control,0,25.78776778,26.50728529,0,,
101,10.2,No_Control,0,25.82238254,27.49802871,0,,
102,10.3,No_Control,0,25.85638439,28.5965815,0,,
103,10.4,No_Control,0,25.88977831,29.82485831,0,,
104,10.5,No_Control,0,25.92256987,31.21141483,0,,
