step,time,mode,throughput,mean_speed,avg_ttc,crit_events
0,0.1,Custom,0,30.13677266666667,,0
1,0.2,Custom,0,30.136772666376277,,0
2,0.3,Custom,0,25.62919484480299,,0
3,0.4,Custom,0,22.838112795235254,,0
4,0.5,Custom,0,20.868194894227866,,0
5,0.6,Custom,0,20.548820595423617,,0
6,0.7,Custom,0,20.327743549622188,,0
7,0.8,Custom,0,20.20188756482275,,0
8,0.9,Custom,0,20.143737078124236,,0
9,1.0,Custom,0,20.13700008805003,,0
10,1.1,Custom,0,20.17608778735556,,0
11,1.2,Custom,0,20.252376772652166,,0
12,1.3,Custom,0,20.3472544639159,,0
13,1.4,Custom,0,20.45839563092191,,0
14,1.5,Custom,0,20.583395630823002,,0
15,1.6,Custom,0,20.708395630726937,,0
16,1.7,Custom,0,20.83339563063363,,0
17,1.8,Custom,0,20.95839563054299,,0
18,1.9,Custom,0,21.08339563045494,,0
19,2.0,Custom,0,21.208395630369406,,0
20,2.1,Custom,0,21.333395630286304,,0
21,2.2,Custom,0,21.45839563020557,,0
22,2.3,Custom,0,21.583395630127125,,0
23,2.4,Custom,0,21.7083956300509,,0
24,2.5,Custom,0,21.833395629976835,,0
25,2.6,Custom,0,21.95839562990486,,0
26,2.7,Custom,0,22.05997973336781,,0
27,2.8,Custom,0,22.185275603513826,,0
28,2.9,Custom,0,22.321264712428047,,0
29,3.0,Custom,0,22.462834102813158,,0
30,3.1,Custom,0,22.607498910348273,,0
31,3.2,Custom,0,22.75389540652319,,0
32,3.3,Custom,0,22.900670181962102,,0
33,3.4,Custom,0,23.047326122170347,,0
34,3.5,Custom,0,23.19381110908121,,0
35,3.6,Custom,0,23.340082974112846,,0
36,3.7,Custom,0,22.93494495237585,,0
37,3.8,Custom,0,23.00107218957544,,0
38,3.9,Custom,0,23.071171381403172,,0
39,4.0,Custom,0,23.145025023831778,,0
40,4.1,Custom,0,23.222434519539814,,0
41,4.2,Custom,0,23.30321744893975,,0
42,4.3,Custom,0,23.387205290679383,,0
43,4.4,Custom,0,23.474241510579173,,0
44,4.5,Custom,0,23.564179954693707,,0
45,4.6,Custom,0,23.656883494968636,,0
46,4.7,Custom,0,23.752222885825123,,0
47,4.8,Custom,0,23.850075797679054,,0
48,4.9,Custom,0,23.95032599943002,,0
49,5.0,Custom,0,24.052862666732636,,0
50,5.1,Custom,0,24.157579796683695,,0
51,5.2,Custom,0,24.264375712643506,,0
52,5.3,Custom,0,24.37315264542416,,0
53,5.4,Custom,0,24.483816379146376,,0
54,5.5,Custom,0,24.59627595178537,,0
55,5.6,Custom,0,24.71044340186745,,0
56,5.7,Custom,0,24.826233553998033,,0
57,5.8,Custom,0,24.94356383694134,,0
58,5.9,Custom,0,25.048537814454377,,0
59,6.0,Custom,0,25.141520194311937,,0
60,6.1,Custom,0,25.233970868884782,,0
61,6.2,Custom,0,25.325850710914263,,0
62,6.3,Custom,0,25.417125490958917,,0
63,6.4,Custom,0,25.507765304172043,,0
64,6.5,Custom,0,25.597744068622962,,0
65,6.6,Custom,0,25.68703908497444,,0
66,6.7,Custom,0,25.77563064912949,,0
67,6.8,Custom,0,25.863501710877856,,0
68,6.9,Custom,0,25.950637572695065,,0
69,7.0,Custom,0,26.037025623742167,,0
70,7.1,Custom,0,26.122655104834493,,0
71,7.2,Custom,0,26.207516900730955,,0
72,7.3,Custom,0,26.769677684096678,,0
73,7.4,Custom,0,26.800629448140594,,0
74,7.5,Custom,0,26.833267119631916,,0
75,7.6,Custom,0,23.77417959365668,,0
76,7.7,Custom,0,23.62257945146624,,0
77,7.8,Custom,0,23.489300990017178,,0
78,7.9,Custom,0,23.398788057903104,,0
79,8.0,Custom,0,23.354239774896588,,0
80,8.1,Custom,0,23.349689473272722,,0
81,8.2,Custom,0,23.380582284626385,,0
82,8.3,Custom,0,23.442001410909533,,0
83,8.4,Custom,0,23.520692076861163,,0
84,8.5,Custom,0,23.60440949220568,,0
85,8.6,Custom,0,23.64827929812327,,0
86,8.7,Custom,0,23.69339245380776,,0
87,8.8,Custom,0,23.73947369912734,,0
88,8.9,Custom,0,23.78629366412296,,0
89,9.0,Custom,0,23.833663517781392,,0
90,9.1,Custom,0,23.88142999739764,,0
91,9.2,Custom,0,23.929470757517812,,0
92,9.3,Custom,0,23.977690022250105,,0
93,9.4,Custom,0,24.02601454989252,,0
94,9.5,Custom,0,24.074389929386417,,0
95,9.6,Custom,0,24.12277722844104,,0
96,9.7,Custom,0,24.17115000704962,,0
97,9.8,Custom,0,24.219491700634173,,0
98,9.9,Custom,0,24.267793366610444,,0
99,10.0,Custom,0,24.316051778439228,,0
100,10.1,Custom,0,24.36426784326311,,0
101,10.2,Custom,0,24.412445313505888,,0
102,10.3,Custom,0,24.460589759412862,,0
103,10.4,Custom,0,24.5087077682271,,0
104,10.5,Custom,0,24.556806336167217,,0
105,10.6,Custom,0,24.604892421165648,,0
106,10.7,Custom,0,24.652972627019775,,0
107,10.8,Custom,0,24.7010529928243,,0
108,10.9,Custom,0,23.80782516342034,,0
109,11.0,Custom,0,23.83345133157778,,0
110,11.1,Custom,0,23.857426582182015,,0
111,11.2,Custom,0,23.883972459508595,,0
112,11.3,Custom,0,23.912921162020055,,0
113,11.4,Custom,0,23.94412114660723,,0
114,11.5,Custom,0,23.977434575432504,,0
115,11.6,Custom,0,24.01273524661807,,0
116,11.7,Custom,0,24.049768959493637,,0
117,11.8,Custom,0,24.088015938018064,,0
118,11.9,Custom,0,24.127397925765578,,0
119,12.0,Custom,0,24.1678422730463,,0
120,12.1,Custom,0,24.20950950138196,,0
121,12.2,Custom,0,24.252542607002887,,0
122,12.3,Custom,0,24.296739144053603,,0
