step,time,mode,throughput,mean_speed,avg_ttc,crit_events
0,0.1,Custom_Framework,0,30.13677266666667,,0
100,10.1,Custom_Framework,0,24.36426784326311,,0
200,20.1,Custom_Framework,0,25.02274369098587,,0
300,30.1,Custom_Framework,0,24.33510684356893,,0
400,40.1,Custom_Framework,0,24.530639362668555,1.0,0
500,50.1,Custom_Framework,0,25.406839684906785,1.0,0
600,60.1,Custom_Framework,0,24.57959278452995,1.0,0
700,70.1,Custom_Framework,0,23.97104331308248,1.0,0
800,80.1,Custom_Framework,0,23.81713582771494,1.0,0
900,90.1,Custom_Framework,0,22.812277112660936,1.0,0
1000,100.1,Custom_Framework,1,22.121491494769817,1.0,0
1100,110.1,Custom_Framework,1,21.878328898290583,1.0,0
1200,120.1,Custom_Framework,1,22.00197829545601,1.0,0
1300,130.1,Custom_Framework,2,21.76646233694785,1.0,0
1400,140.1,Custom_Framework,2,21.793643385820435,1.0,0
1500,150.1,Custom_Framework,6,21.394975938408805,1.0,0
1600,160.1,Custom_Framework,8,21.17359317447364,1.0,0
1700,170.1,Custom_Framework,13,21.03197018967608,1.0,0
1800,180.1,Custom_Framework,22,20.56244414696079,1.0,0
1900,190.1,Custom_Framework,34,20.065186852567464,1.0,0
2000,200.1,Custom_Framework,47,19.396301093711724,1.0,0
2100,210.1,Custom_Framework,58,18.343159789271258,1.0,0
2200,220.1,Custom_Framework,65,18.19906726186912,1.0,0
2300,230.1,Custom_Framework,65,18.121274085729446,1.0,0
2400,240.1,Custom_Framework,77,17.618345256138532,1.0,0
2500,250.1,Custom_Framework,84,17.756796553405444,1.0,0
2600,260.1,Custom_Framework,95,17.80419700325878,1.0,0
2700,270.1,Custom_Framework,110,17.83117365538201,1.0,0
2800,280.1,Custom_Framework,123,17.279505740669787,1.0,0
2900,290.1,Custom_Framework,137,16.67584512649132,1.0,0
3000,300.1,Custom_Framework,146,16.2245464728533,1.0,0
3100,310.1,Custom_Framework,157,16.10266678546611,1.0,0
3200,320.1,Custom_Framework,170,15.780022368378978,1.0,0
3300,330.1,Custom_Framework,176,15.465258652420376,1.0,0
3400,340.1,Custom_Framework,187,15.421957212299555,1.0,0
3500,350.1,Custom_Framework,193,15.474303094800938,1.0,0
3600,360.1,Custom_Framework,197,15.354527399899842,1.0,0
3700,370.1,Custom_Framework,200,15.205089441907361,1.0,0
3800,380.1,Custom_Framework,206,15.058638907691602,1.0,0
3900,390.1,Custom_Framework,213,14.696543676468782,1.0,0
4000,400.1,Custom_Framework,227,14.53309861325636,1.0,0
4100,410.1,Custom_Framework,233,14.531334680980658,1.0,0
4200,420.1,Custom_Framework,241,14.883819423742231,1.0,0
4300,430.1,Custom_Framework,253,15.033732232145583,1.0,0
4400,440.1,Custom_Framework,264,14.684266040917347,1.0,0
4500,450.1,Custom_Framework,278,14.358330561700294,1.0,0
4600,460.1,Custom_Framework,289,13.908064175630598,1.0,0
4700,470.1,Custom_Framework,301,13.38175050015651,1.0,0
4800,480.1,Custom_Framework,313,12.693794420215063,1.0,0
4900,490.1,Custom_Framework,325,11.940019747888384,1.0,0
5000,500.1,Custom_Framework,334,11.627139929117385,1.0,0
5100,510.1,Custom_Framework,345,11.34107379382106,1.0,0
